Commodity Code,Commodity Name,Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins
486,Pipeline transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.012,0,0.012,,4,3,1,4,1
487OS,Other transportation and support activities,carbon dioxide,"kg/2018 USD, purchaser price",0.483,0,0.483,,3,3,1,3,1
487OS,Other transportation and support activities,methane,"kg/2018 USD, purchaser price",0.003,0,0.003,,4,3,1,2,1
487OS,Other transportation and support activities,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,3,1,3,1
487OS,Other transportation and support activities,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,3,3,1,4,1
493,Warehousing and storage,carbon dioxide,"kg/2018 USD, purchaser price",0.615,0,0.615,,2,3,1,2,1
493,Warehousing and storage,methane,"kg/2018 USD, purchaser price",0.002,0,0.002,,3,3,1,1,1
493,Warehousing and storage,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,2,1
493,Warehousing and storage,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0,0.005,,3,3,1,3,1
4A0,Other retail,carbon dioxide,"kg/2018 USD, purchaser price",0.183,0,0.183,,3,3,1,3,1
4A0,Other retail,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,3,1,1,1
4A0,Other retail,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,3,1
4A0,Other retail,other GHGs,"kg CO2e/2018 USD, purchaser price",0.003,0,0.003,,3,3,1,4,1
511,"Publishing industries, except internet (includes software)",carbon dioxide,"kg/2018 USD, purchaser price",0.063,0.016,0.079,,3,3,1,3,1
511,"Publishing industries, except internet (includes software)",methane,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,1,1
511,"Publishing industries, except internet (includes software)",nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,3,1
511,"Publishing industries, except internet (includes software)",other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0,0.002,,3,3,1,3,1
512,Motion picture and sound recording industries,carbon dioxide,"kg/2018 USD, purchaser price",0.059,0.003,0.062,,3,3,1,3,1
512,Motion picture and sound recording industries,methane,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,1,1
512,Motion picture and sound recording industries,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,3,1
512,Motion picture and sound recording industries,other GHGs,"kg CO2e/2018 USD, purchaser price",0.001,0,0.001,,3,3,1,3,1
513,Broadcasting and telecommunications,carbon dioxide,"kg/2018 USD, purchaser price",0.099,0,0.099,,3,3,1,3,1
